email,text,schedule
vdaybell0@seattletimes.com,"Hi Vincenty, your invoice about $1.99 is due.",8s-14s-20s
esealove2@go.com,"Hola Elspeth, aun tienes un pago de $4.55 pendiente.",0s-18s
bskentelberyl@mozilla.org,"Dear Mr. Skentelbery, you still have an outstanding amount of $152.87 for your loan.",3s-7s-18s
charrimanr@ucla.edu,"Hello Charin, we want to remind you, that your payment of $12.09 is still outstanding",6s
rforrester11@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test1@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test2@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test3@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test4@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test5@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test6@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test7@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test8@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s
test9@indiegogo.com,"Hallo Ricki, für deine Bestellung über 72.56€ konnten wir leider noch keine Zahlung feststellen.",2s-11s-19s

